,English,,Simplified Chinese,
2774112,"Blaxland Station, Platform 2",Blaxland,巴拉斯兰 (Blaxland) 站 2 号站台,巴拉斯兰 (Blaxland)
2774122,"Warrimoo Station, Platform 2",Warrimoo,沃梨木 (Warrimoo) 站 2 号站台,沃梨木 (Warrimoo)
2777191,"Springwood Station, Platform 1",Springwood,斯普林伍德 (Springwood) 站 1 号站台,斯普林伍德 (Springwood)
2777192,"Springwood Station, Platform 2",Springwood,斯普林伍德 (Springwood) 站 2 号站台,斯普林伍德 (Springwood)
2777202,"Valley Heights Station, Platform 2",Valley Heights,谷高地 (Valley Heights) 站 2 号站台,谷高地 (Valley Heights)
277871,"Linden Station, Platform 1",Linden,林登 (Linden) 站 1 号站台,林登 (Linden)
277872,"Linden Station, Platform 2",Linden,林登 (Linden) 站 2 号站台,林登 (Linden)
277881,"Woodford Station, Platform 1",Woodford,伍德福德 (Woodford) 站 1 号站台,伍德福德 (Woodford)
277882,"Woodford Station, Platform 2",Woodford,伍德福德 (Woodford) 站 2 号站台,伍德福德 (Woodford)
277941,"Hazelbrook Station, Platform 1",Hazelbrook,海泽布鲁克 (Hazelbrook) 站 1 号站台,海泽布鲁克 (Hazelbrook)
277942,"Hazelbrook Station, Platform 2",Hazelbrook,海泽布鲁克 (Hazelbrook) 站 2 号站台,海泽布鲁克 (Hazelbrook)
2780201,"Katoomba Station, Platform 1",Katoomba,卡通巴 (Katoomba) 站 1 号站台,卡通巴 (Katoomba)
2780202,"Katoomba Station, Platform 2",Katoomba,卡通巴 (Katoomba) 站 2 号站台,卡通巴 (Katoomba)
2780211,"Leura Station, Platform 1",Leura,卢拉 (Leura) 站 1 号站台,卢拉 (Leura)
2780212,"Leura Station, Platform 2",Leura,卢拉 (Leura) 站 2 号站台,卢拉 (Leura)
2780222,"Medlow Bath Station, Platform 2",Medlow Bath,梅德洛浴 (Medlow Bath) 站 2 号站台,梅德洛浴 (Medlow Bath)
2782181,"Wentworth Falls Station, Platform 1",Wentworth Falls,温特沃斯瀑布 (Wentworth Falls) 站 1 号站台,温特沃斯瀑布 (Wentworth Falls)
278421,"Bullaburra Station, Platform 1",Bullaburra,布拉布拉 (Bullaburra) 站 1 号站台,布拉布拉 (Bullaburra)
278422,"Bullaburra Station, Platform 2",Bullaburra,布拉布拉 (Bullaburra) 站 2 号站台,布拉布拉 (Bullaburra)
278561,"Blackheath Station, Platform 1",Blackheath,布莱克希斯 (Blackheath) 站 1 号站台,布莱克希斯 (Blackheath)
278562,"Blackheath Station, Platform 2",Blackheath,布莱克希斯 (Blackheath) 站 2 号站台,布莱克希斯 (Blackheath)
278641,"Bell Station, Platform 1",Bell,贝尔 (Bell) 站 1 号站台,贝尔 (Bell)
278642,"Bell Station, Platform 2",Bell,贝尔 (Bell) 站 2 号站台,贝尔 (Bell)
278651,"Mount Victoria Station, Platform 1",Mount Victoria,维多利亚山 (Mount Victoria) 站 1 号站台,维多利亚山 (Mount Victoria)
278652,"Mount Victoria Station, Platform 2",Mount Victoria,维多利亚山 (Mount Victoria) 站 2 号站台,维多利亚山 (Mount Victoria)
2790141,"Lithgow Station, Platform 1",Lithgow,利斯戈 (Lithgow) 站 1 号站台,利斯戈 (Lithgow)
2790142,"Lithgow Station, Platform 2",Lithgow,利斯戈 (Lithgow) 站 2 号站台,利斯戈 (Lithgow)
2790152,"Zig Zag Station, Platform 2",Clarence,之字形 (Zig Zag) 站 2 号站台,克拉伦斯 (Clarence)
2790153,"Zig Zag Station, Tourist Platform",Clarence,之字形 (Zig Zag) 站 游客站台,克拉伦斯 (Clarence)
2000407,Darling Harbour Wharf 1,Sydney,达令港 (Darling Harbour) 1 号码头,悉尼 (Sydney)
251820,Corrimal Station,Corrimal,科里莫尔 (Corrimal) 站,科里莫尔 (Corrimal)
2251301,"Davistown, Lintern St Wharf",Davistown,"戴维斯敦林特恩街 (Davistown, Lintern St) 码头",戴维斯敦 (Davistown)
2000273,"Circular Quay, Eastern Pontoon",Sydney,"环形码头 (Circular Quay), 东浮桥 (Eastern Pontoon)",悉尼 (Sydney)
2210322,"Riverwood Station, Platform 2",Riverwood,河林镇 (Riverwood) 站 2 号站台,河林镇 (Riverwood)
2232293,"Sutherland Station, Platform 3",Sutherland,萨德兰 (Sutherland) 站 3 号站台,萨德兰 (Sutherland)
2579101,"Tallong Station, Platform 1",Tallong,塔隆 (Tallong) 站 1 号站台,塔隆 (Tallong)
2000450,Circular Quay Light Rail,Sydney,环形码头 (Circular Quay) 轻轨,悉尼 (Sydney)
2233281,"Heathcote Station, Platform 1",Heathcote,希思科特 (Heathcote) 站 1 号站台,希思科特 (Heathcote)
214073,"Homebush Station, Platform 3",Homebush,康宝树 (Homebush) 站 3 号站台,康宝树 (Homebush)
2577209,Ranelagh House Station,Robertson,瑞恩拉之家 (Ranelagh House) 站,罗伯逊 (Robertson)
2577210,"Ranelagh House Station, Platform 1",Robertson,瑞恩拉之家 (Ranelagh House) 站 1 号站台,罗伯逊 (Robertson)
207010,Lindfield Station,Lindfield,林德菲尔德 (Lindfield) 站,林德菲尔德 (Lindfield)
232010,High Street Station,Maitland,高街 (High Street) 站,梅特兰 (Maitland)
211420,West Ryde Station,West Ryde,西怀特 (West Ryde) 站,西怀特 (West Ryde)
216710,Glenfield Station,Glenfield,格恩佛 (Glenfield) 站,格恩佛 (Glenfield)
202710,Edgecliff Station,Edgecliff,崖勤猎 (Edgecliff) 站,崖勤猎 (Edgecliff)
201110,Kings Cross Station,Potts Point,国王十字 (Kings Cross) 车站,帕茲角 (Potts Point)
278010,Leura Station,Leura,卢拉 (Leura) 站,卢拉 (Leura)
232020,Maitland Station,Maitland,梅特兰 (Maitland) 站,梅特兰 (Maitland)
242050,Martins Creek Station,Martins Creek,马丁斯溪 (Martins Creek) 站,马丁斯溪 (Martins Creek)
278610,Mount Victoria Station,Mount Victoria,维多利亚山 (Mount Victoria) 站,维多利亚山 (Mount Victoria)
230020,Newcastle Station,Newcastle,纽卡斯尔 (Newcastle) 站,纽卡斯尔 (Newcastle)
275010,Penrith Station,Penrith,彭里斯 (Penrith) 站,彭里斯 (Penrith)
201510,Redfern Station,Eveleigh,雷德芬 (Redfern) 站,伊夫利 (Eveleigh)
213820,Rhodes Station,Rhodes,罗兹 (Redfer) 站,罗兹 (Rhodes)
221010,Riverwood Station,Riverwood,河林镇 (Riverwood) 站,河林镇 (Riverwood)
257950,Tallong Station,Tallong,塔隆 (Tallong) 站,塔隆 (Tallong)
228420,Teralba Station,Teralba,特拉巴 (Teralba) 站,特拉巴 (Teralba)
2000451,Circular Quay Light Rail,Sydney,环形码头 (Circular Quay) 轻轨,悉尼 (Sydney)
21372,Bayview Park Wharf,Concord,湾景公园 (Bayview Park) 码头,康科德 (Concord)
20651,Greenwich Point Wharf,Greenwich,格林威治角 (Greenwich Point) 码头,格林威治 (Greenwich)
210659,Newport Wharf,Newport,新港 (Newport) 码头,新港 (Newport)
216765,"Glenfield Station, Platform 4",Glenfield,格恩佛 (Glenfield) 站 4 号站台,格恩佛 (Glenfield)
20881,Mosman Bay Wharf,Mosman,莫斯曼湾 (Mosman Bay) 码头,莫斯曼 (Mosman)
2209152,"Narwee Station, Platform 2",Narwee,那威 (Narwee) 站 2 号站台,那威 (Narwee)
2113361,"North Ryde Station, Platform 1",Macquarie Park,北莱德 (North Ryde) 站 1 号站台,麦考瑞公园 (Macquarie Park)
2213151,"Panania Station, Platform 1",Panania,帕纳尼安 (Panania) 站 1 号站台,帕纳尼安 (Panania)
2750512,"Penrith Station, Platform 2",Penrith,彭里斯 (Penrith) 站 2 号站台,彭里斯 (Penrith)
2015136,"Redfern Station, Platform 6",Eveleigh,雷德芬 (Redfern) 站 6 号站台,伊夫利 (Eveleigh)
214391,"Regents Park Station, Platform 1",Regents Park,摄政公园 (Regents Park) 站 1 号站台,摄政公园 (Regents Park)
2508182,"Stanwell Park Station, Platform 2",Stanwell Park,斯坦威尔公园 (Stanwell Park) 站 2 号站台,斯坦威尔公园 (Stanwell Park)
2135234,"Strathfield Station, Platform 4",Strathfield,史卓菲 (Strathfield) 站 4 号站台,史卓菲 (Strathfield)
229272,"Broadmeadow Station, Platform 2",Broadmeadow,布罗德梅多 (Broadmeadow) 站 2 号站台,布罗德梅多 (Broadmeadow)
2194111,"Campsie Station, Platform 1",Campsie,坎斯 (Campsie) 站 1 号站台,坎斯 (Campsie)
2170812,"Casula Station, Platform 2",Casula,卡苏拉 (Casula) 站 2 号站台,卡苏拉 (Casula)
2142311,"Clyde Station, Platform 1",Granville,奇街 (Clyde) 站 1 号站台,格兰维尔 (Granville)
2284172,"Cockle Creek Station, Platform 2",Argenton,科克尔溪 (Cockle Creek) 站 2 号站台,阿根顿 (Argenton)
213284,"Croydon Station, Platform 4",Croydon,克罗伊登 (Croydon) 站 4 号站台,克罗伊登 (Croydon)
2530231,"Dapto Station, Platform 1",Dapto,达普托 (Dapto) 站 1 号站台,达普托 (Dapto)
242061,"Dungog Station, Platform 1",Dungog,敦格 (Dungog) 站 1 号站台,敦格 (Dungog)
2121222,"Epping Station, Platform 2",Epping,艾坪 (Epping) 站 2 号站台,艾坪 (Epping)
2519132,"Fairy Meadow Station, Platform 2",Fairy Meadow,仙女草地 (Fairy Meadow) 站 2 号站台,仙女草地 (Fairy Meadow)
277661,"Faulconbridge Station, Platform 1",Faulconbridge,佛肯桥 (Faulconbridge) 站 1 号站台,佛肯桥 (Faulconbridge)
207262,"Gordon Station, Platform 2",Gordon,戈登 (Gordon) 站 2 号站台,戈登 (Gordon)
2015111,"Green Square Station, Platform 1",Alexandria,绿色广场 (Green Square) 站 1 号站台,亚历山德里亚 (Alexandria)
2161251,"Guildford Station, Platform 1",Guildford,吉尔福德 (Guildford) 站 1 号站台,吉尔福德 (Guildford)
2303152,"Hamilton Station, Platform 2",Hamilton,汉密尔顿 (Hamilton) 站 2 号站台,汉密尔顿 (Hamilton)
2020101,"International Airport Station, Platform 1",Mascot,国际机场 (International Airport) 站 1 号站台,马斯党 (Mascot)
2256452,"Koolewong Station, Platform 2",Koolewong,库利旺 (Koolewong) 站 2 号站台,库利旺 (Koolewong)
2195132,"Lakemba Station, Platform 2",Lakemba,拉开巴 (Lakemba) 站 2 号站台,拉开巴 (Lakemba)
2141313,"Lidcombe Station, Platform 3",Lidcombe,利德科姆 (Lidcombe) 站 3 号站台,礼琴 (Lidcombe)
2070141,"Lindfield Station, Platform 1",Lindfield,林德菲尔德 (Lindfield) 站 1 号站台,林德菲尔德 (Lindfield)
2560712,"Macarthur Station, Platform 2",Campbelltown,麦克阿瑟 (Macarthur) 站 2 号站台,金宝镇 (Campbelltown)
2113351,"Macquarie University Station, Platform 1",Macquarie Park,麦考瑞大学 (Macquarie University) 站 1 号站台,麦考瑞公园 (Macquarie Park)
2320314,"Maitland Station, Platform 4",Maitland,梅特兰 (Maitland) 站 4 号站台,梅特兰 (Maitland)
257982,"Marulan Station, Platform 2",Marulan,马鲁兰 (Marulan) 站 2 号站台,马鲁兰 (Marulan)
2566241,"Minto Station, Platform 1",Minto,明托 (Minto) 站 1 号站台,明托 (Minto)
2770591,"Mount Druitt Station, Platform 1",Mount Druitt,德鲁伊特山 (Mount Druitt) 站 1 号站台,德鲁伊特山 (Mount Druitt)
2127101,"Olympic Park Station, Platform 1",Sydney Olympic Park,奥林匹克公园 (Olympic Park) 站 1 号站台,悉尼奥林匹克公园 (Sydney Olympic Park)
2508172,"Otford Station, Platform 2",Otford,奥特福德 (Otford) 站 2 号站台,奥特福德 (Otford)
2145641,"Pendle Hill Station, Platform 1",Pendle Hill,佩杜山 (Pendle Hill) 站 1 号站台,佩杜山 (Pendle Hill)
2069131,"Roseville Station, Platform 1",Roseville,罗斯维尔 (Roseville) 站 1 号站台,罗斯维尔 (Roseville)
2145653,"Wentworthville Station, Platform 3",Wentworthville,韦沃镇 (Wentworthville) 站 3 号站台,韦沃镇 (Wentworthville)
2205111,"Wolli Creek Station, Platform 1",Wolli Creek,涡拉溪 (Wolli Creek) 站 1 号站台,涡拉溪 (Wolli Creek)
2065162,"Wollstonecraft Station, Platform 2",Wollstonecraft,沃斯通克拉夫特 (Wollstonecraft) 站 2 号站台,沃斯通克拉夫特 (Wollstonecraft)
2515151,"Wombarra Station, Platform 1",Wombarra,沃姆巴拉 (Wombarra) 站 1 号站台,沃姆巴拉 (Wombarra)
2230221,"Woolooware Station, Platform 1",Woolooware,乌鲁瓦 (Woolooware) 站 1 号站台,乌鲁瓦 (Woolooware)
252710,Albion Park Station,Albion Park Rail,阿尔比恩公园 (Albion Park) 站,阿尔比恩公园铁路 (Albion Park Rail)
26401,Albury Station,East Albury,奥尔伯里 (Albury) 站,东奥尔伯里 (East Albury)
214120,Berala Station,Berala,贝拉拉 (Berala) 站,贝拉拉 (Berala)
225040,Gosford Station,Gosford,戈斯福德 (Gosford) 站,戈斯福德 (Gosford)
258010,Goulburn Station,Goulburn,古尔本 (Goulburn) 站,古尔本 (Goulburn)
215010,Harris Park Station,Harris Park,哈里斯公园 (Harris Park) 站,哈里斯公园 (Harris Park)
216320,Villawood Station,Villawood,维拉活 (Villawood) 站,维拉活 (Villawood)
207420,Warrawee Station,Warrawee,沃拉威 (Warrawee) 站,沃拉威 (Warrawee)
24461,Wauchope Station,Wauchope,沃科普 (Wauchope) 站,沃科普 (Wauchope)
253320,Bombo Station,Bombo,邦博 (Bombo) 站,邦博 (Bombo)
257810,Bundanoon Station,Bundanoon,邦达努 (Bundanoon) 站,邦达努 (Bundanoon)
216330,Carramar Station,Carramar,卡拉马 (Carramar) 站,卡拉马 (Carramar)
200020,Circular Quay Station,Sydney,环形码头 (Circular Quay) 站,悉尼 (Sydney)
253020,Dapto Station,Dapto,达普托 (Dapto) 站,达普托 (Dapto)
242010,Dungog Station,Dungog,敦格 (Dungog) 站,敦格 (Dungog)
2170824,"Liverpool Station, Platform 4",Liverpool,利物浦 (Liverpool) 站 4 号站台,利物浦 (Liverpool)
21141,Meadowbank Wharf,Meadowbank,米多班克 (Meadowbank) 码头,米多班克 (Meadowbank)
258089,"Tarago Station, Platform 1",Tarago,塔勒戈 (Tarago) 站 1 号站台,塔勒戈 (Tarago)
262030,"Queanbeyan Station, Platform 1",Queanbeyan,昆比恩 (Queanbeyan) 站 1 号站台,昆比恩 (Queanbeyan)
2790154,"Rydal Station, Platform 1",Rydal,赖德尔 (Rydal) 站 1 号站台,赖德尔 (Rydal)
27874,"Tarana Station, Platform 1",Tarana,塔拉纳 (Tarana) 站 1 号站台,塔拉纳 (Tarana)
2795202,"Bathurst Station, Platform 2",Bathurst,巴瑟斯特 (Bathurst) 站 2 号站台,巴瑟斯特 (Bathurst)
2795201,"Bathurst Station, Platform 1",Bathurst,巴瑟斯特 (Bathurst) 站 1 号站台,巴瑟斯特 (Bathurst)
2000449,Circular Quay Light Rail,Sydney,环形码头 (Circular Quay) 轻轨,悉尼 (Sydney)
2000205,Circular Quay Light Rail,Sydney,环形码头 (Circular Quay) 轻轨,悉尼 (Sydney)
2300123,Civic Light Rail,Newcastle,市政 (Civic) 轻轨,纽卡斯尔 (Newcastle)
2300124,Civic Light Rail,Newcastle,市政 (Civic) 轻轨,纽卡斯尔 (Newcastle)
2300133,Civic Light Rail,Newcastle,市政 (Civic) 轻轨,纽卡斯尔 (Newcastle)
2000262,Convention Light Rail,Sydney,会议中心 (Convention) 轻轨,悉尼 (Sydney)
2000204,Convention Light Rail,Sydney,会议中心 (Convention) 轻轨,悉尼 (Sydney)
2000263,Convention Light Rail,Sydney,会议中心 (Convention) 轻轨,悉尼 (Sydney)
2300125,Crown Street Light Rail,Newcastle,皇冠街 (Crown Street) 轻轨,纽卡斯尔 (Newcastle)
2300126,Crown Street Light Rail,Newcastle,皇冠街 (Crown Street) 轻轨,纽卡斯尔 (Newcastle)
247055,"Casino Station, Platform 1",Casino,卡西诺 (Casino) 站 1 号站台,卡西诺 (Casino)
2460143,"Grafton Station, Platform 1",South Grafton,格拉夫顿 (Grafton ) 站 1 号站台,南格拉夫顿 (South Grafton)
235044,"Armidale Station, Platform 1",Armidale,阿米代尔 (Armidale) 站 1 号站台,阿米代尔 (Armidale)
288076,"Broken Hill Station, Platform 1",Broken Hill,布罗肯希尔 (Broken Hill) 站 1 号站台,布罗肯希尔 (Broken Hill)
2830143,"Dubbo Station, Platform 1",Dubbo,达博 (Dubbo) 站 1 号站台,达博 (Dubbo)
27993,"Blayney Station, Platform 1",Blayney,布莱尼 (Blayney) 站 1 号站台,布莱尼 (Blayney)
20882,South Mosman Wharf,Mosman,南莫斯曼 (South Mosman) 码头,莫斯曼 (Mosman)
2320301,"High Street Station, Platform 1",Maitland,高街 (High Street) 站 1 号站台,梅特兰 (Maitland)
208042,"Mount Kuring-gai Station, Platform 2",Mount Kuring-Gai,柯灵盖山 (Mount Kuring-gai) 站 2 号站台,柯灵盖山 (Mount Kuring-Gai)
204833,"Stanmore Station, Platform 3",Stanmore,斯坦莫尔 (Stanmore) 站 3 号站台,斯坦莫尔 (Stanmore)
2120211,"Thornleigh Station, Platform 1",Thornleigh,桑利 (Thornleigh) 站 1 号站台,桑利 (Thornleigh)
2000393,"Town Hall Station, Platform 3",Sydney,市政厅 (Town Hall) 站 3 号站台,悉尼 (Sydney)
2259911,"Tuggerah Station, Platform 1",Tuggerah,塔格拉 (Tuggerah) 站 1 号站台,塔格拉 (Tuggerah)
2074181,"Turramurra Station, Platform 1",Turramurra,塔勒马拉 (Turramurra) 站 1 号站台,塔勒马拉 (Turramurra)
2777201,"Valley Heights Station, Platform 1",Valley Heights,谷高地 (Valley Heights) 站 1 号站台,谷高地 (Valley Heights)
2323332,"Victoria Street Station, Platform 2",East Maitland,维多利亚街 (Victoria Street) 站 2 号站台,东梅特兰 (East Maitland)
2790151,"Zig Zag Station, Platform 1",Clarence,之字形 (Zig Zag) 站 1 号站台,克拉伦斯 (Clarence)
2000411,"Circular Quay, Commissioners Steps",The Rocks,"环形码头 (Circular Quay), 长官阶梯 (Commissioners Steps) ",岩石区 (The Rocks)
23383,"Murrurundi Station, Platform 1",Murrurundi,马鲁兰迪 (Murrurundi) 站 1 号站台,马鲁兰迪 (Murrurundi)
23393,"Willow Tree Station, Platform 1",Willow Tree,威洛特里 (Willow Tree) 站 1 号站台,威洛特里 (Willow Tree)
2340108,"Tamworth Station, Platform 1",Tamworth,谭沃思 (Tamworth) 站 1 号站台,谭沃思 (Tamworth)
23418,"Werris Creek Station, Platform 1",Werris Creek,韦里斯克里克 (Werris Creek) 站 1 号站台,韦里斯克里克 (Werris Creek)
234313,"Quirindi Station, Platform 1",Quirindi,奎林代 (Quirindi) 站 1 号站台,奎林代 (Quirindi)
23528,"Kootingal Station, Platform 1",Kootingal,库丁格 (Kootingal) 站 1 号站台,库丁格 (Kootingal)
23544,"Walcha Road Station, Platform 1",Walcha Road,瓦尔夏路 (Walcha Road) 站 1 号站台,瓦尔夏路 (Walcha Road)
235824,"Uralla Station, Platform 1",Uralla,尤腊拉 (Uralla) 站 1 号站台,尤腊拉 (Uralla)
238074,"Gunnedah Station, Platform 1",Gunnedah,冈尼达 (Gunnedah) 站 1 号站台,冈尼达 (Gunnedah)
239029,"Narrabri Station, Platform 1",Narrabri,纳拉布里 (Narrabri) 站 1 号站台,纳拉布里 (Narrabri)
23973,"Bellata Station, Platform 1",Bellata,贝拉塔 (Bellata) 站 1 号站台,贝拉塔 (Bellata)
240024,"Moree Station, Platform 1",Moree,莫里 (Moree) 站 1 号站台,莫里 (Moree)
242142,"Gloucester Station, Platform 1",Gloucester,格洛斯特 (Gloucester) 站 1 号站台,格洛斯特 (Gloucester)
2429102,"Wingham Station, Platform 1",Wingham,温厄姆 (Wingham) 站 1 号站台,温厄姆 (Wingham)
243067,"Taree Station, Platform 1",Taree,塔里 (Taree) 站 1 号站台,塔里 (Taree)
243927,"Kendall Station, Platform 1",Kendall,肯德尔 (Kendall) 站 1 号站台,肯德尔 (Kendall)
244086,"Kempsey Station, Platform 1",Kempsey,肯普西 (Kempsey) 站 1 号站台,肯普西 (Kempsey)
244131,"Eungai Station, Platform 1",Eungai Rail,恩盖 (Eungai) 站 1 号站台,恩盖铁路 (Eungai Rail)
244738,"Macksville Station, Platform 1",Macksville,麦克斯维尔 (Macksville) 站 1 号站台,麦克斯维尔 (Macksville)
244835,"Nambucca Heads Station, Platform 1",Nambucca Heads,楠巴卡黑兹 (Nambucca) 站 1 号站台,楠巴卡黑兹 (Nambucca Heads)
2450173,"Coffs Harbour Station, Platform 1",Coffs Harbour,科夫斯港 (Coffs Harbour) 站 1 号站台,科夫斯港 (Coffs Harbour)
245240,"Sawtell Station, Platform 1",Toormina,萨维特尔 (Sawtell) 站 1 号站台,图米纳 (Toormina)
245526,"Urunga Station, Platform 1",Urunga,尤朗加 (Urunga) 站 1 号站台,尤朗加 (Urunga)
247426,"Kyogle Station, Platform 1",Kyogle,凯欧格尔 (Kyogle) 站 1 号站台,凯欧格尔 (Kyogle)
258128,"Gunning Station, Platform 1",Gunning,冈宁 (Gunning) 站 1 号站台,冈宁 (Gunning)
25875,"Harden Station, Platform 1",Harden,哈登 (Harden) 站 1 号站台,哈登 (Harden)
25903,"Cootamundra Station, Platform 1",Cootamundra,库塔曼德拉 (Cootamundra) 站 1 号站台,库塔曼德拉 (Cootamundra)
2650135,"Wagga Wagga Station, Platform 1",Turvey Park,沃加沃加 (Wagga Wagga) 站 1 号站台,特维公园 (Turvey Park)
26553,"The Rock Station, Platform 1",The Rock,岩石区 (The Rock) 站 1 号站台,岩石区 (The Rock)
26583,"Henty Station, Platform 1",Henty,亨蒂 (Henty) 站 1 号站台,亨蒂 (Henty)
26603,"Culcairn Station, Platform 1",Culcairn,卡尔凯恩 (Culcairn) 站 1 号站台,卡尔凯恩 (Culcairn)
266348,"Junee Station, Platform 1",Junee,朱尼 (Junee) 站 1 号站台,朱尼 (Junee)
268058,"Griffith Station, Platform 1",Griffith,格里菲斯 (Griffith) 站 1 号站台,格里菲斯 (Griffith)
27003,"Narrandera Station, Platform 1",Narrandera,纳兰德拉 (Narrandera) 站 1 号站台,纳兰德拉 (Narrandera)
270122,"Coolamon Station, Platform 1",Coolamon,库拉门 (Coolamon) 站 1 号站台,库拉门 (Coolamon)
27054,"Leeton Station, Platform 1",Leeton,利顿 (Leeton) 站 1 号站台,利顿 (Leeton)
280092,"Orange Station, Platform 1",Orange,奥兰治 (Orange) 站 1 号站台,奥兰治 (Orange)
282023,"Wellington Station, Platform 1",Wellington,惠灵顿 (Wellington) 站 1 号站台,惠灵顿 (Wellington)
283111,"Geurie Station, Platform 1",Geurie,格里 (Geurie) 站 1 号站台,格里 (Geurie)
28778,"Euabalong West Station, Platform 1",Euabalong,尤阿伯朗西 (Euabalong West) 站 1 号站台,尤阿伯朗 (Euabalong)
28779,"Condobolin Station, Platform 1",Condobolin,康多博林 (Condobolin) 站 1 号站台,康多博林 (Condobolin)
28785,"Ivanhoe Station, Platform 1",Ivanhoe,艾文霍 (Ivanhoe) 站 1 号站台,艾文霍 (Ivanhoe)
28793,"Menindee Station, Platform 1",Menindee,梅宁迪 (Menindee) 站 1 号站台,梅宁迪 (Menindee)
258234,"Yass Junction Station, Platform 1",Yass,亚斯枢纽 (Yass Junction) 站 1 号站台,亚斯 (Yass)
282024,"Stuart Town Station, Platform 1",Stuart Town,斯图尔特镇 (Stuart Town) 站 1 号站台,斯图尔特镇 (Stuart Town)
28786,"Darnick Station, Platform 1",Ivanhoe,达尼克 (Darnick) 站 1 号站台,艾文霍 (Ivanhoe)
264086,"Albury Station, Platform 1",Albury,奥尔伯里 (Albury) 站 1 号站台,奥尔伯里 (Albury)
244648,"Wauchope Station, Platform 1",Wauchope,沃科普 (Wauchope) 站 1 号站台,沃科普 (Wauchope)
2300102,Queens Wharf,Newcastle,皇后 (Queens) 码头,纽卡斯尔 (Newcastle)
2127107,Armory Wharf,Newington,军械库 (Armory) 码头,纽因顿 (Newington)
206144,Beulah Street Wharf,Kirribilli,比尤拉街 (Beulah Street) 码头,基里比利 (Kirribilli)
2577212,Robertson Station,Robertson,罗伯逊 (Robertson) 站,罗伯逊 (Robertson)
2577213,"Robertson Station, Platform 1",Robertson,罗伯逊 (Robertson) 站 1 号站台,罗伯逊 (Robertson)
213898,"Concord West Station, Platform 1",Concord West,康科德西 (Concord West) 站 1 号站台,康科德西 (Concord West)
2126158,Cherrybrook Station,Cherrybrook,樱桃小溪 (Cherrybrook) 站,樱桃小溪 (Cherrybrook)
2155384,Tallawong Station,Rouse Hill,塔拉旺 (Tallawong) 站,露斯山 (Rouse Hill)
222020,Allawah Station,Hurstville,阿拉瓦 (Allawah) 站,好士围 (Hurstville)
26043,"Canberra Station, Platform 1",Canberra,堪培拉 (Canberra) 站 1 号站台,堪培拉 (Canberra)
258125,"Gunning Station, Platform 2",Gunning,冈宁 (Gunning) 站 2 号站台,冈宁 (Gunning)
25876,"Harden Station, Platform 2",Harden,哈登 (Harden) 站 2 号站台,哈登 (Harden)
258235,"Yass Junction Station, Platform 2",Yass,亚斯枢纽 (Yass Junction) 站 2 号站台,亚斯 (Yass)
23419,"Werris Creek Station, Platform 2",Werris Creek,韦里斯克里克 (Werris Creek) 站 2 号站台,韦里斯克里克 (Werris Creek)
2154391,Castle Hill Station,Castle Hill,城堡山 (Castle Hill) 站,城堡山 (Castle Hill)
2154392,Hills Showground Station,Castle Hill,希尔斯展览场 (Hills Showground) 站,城堡山 (Castle Hill)
2153477,Norwest Station,Norwest,诺威斯特 (Norwest) 站,诺威斯特 (Norwest)
2153478,Bella Vista Station,Bella Vista,贝拉维斯塔 (Bella Vista) 站,贝拉维斯塔 (Bella Vista)
2155382,Kellyville Station,Kellyville,凯利维尔 (Kellyville) 站,凯利维尔 (Kellyville)
2126159,"Cherrybrook Station, Platform 1",Cherrybrook,樱桃小溪 (Cherrybrook) 站 1 号站台,樱桃小溪 (Cherrybrook)
2126160,"Cherrybrook Station, Platform 2",Cherrybrook,樱桃小溪 (Cherrybrook) 站 2 号站台,樱桃小溪 (Cherrybrook)
2153405,"Norwest Station, Platform 2",Norwest,诺威斯特 (Norwest) 站 2 号站台,诺威斯特 (Norwest)
2153402,"Bella Vista Station, Platform 1",Bella Vista,贝拉维斯塔 (Bella Vista) 站 1 号站台,贝拉维斯塔 (Bella Vista)
2153403,"Bella Vista Station, Platform 2",Bella Vista,贝拉维斯塔 (Bella Vista) 站 2 号站台,贝拉维斯塔 (Bella Vista)
2154262,"Castle Hill Station, Platform 1",Castle Hill,城堡山 (Castle Hill) 站 1 号站台,城堡山 (Castle Hill)
2154263,"Castle Hill Station, Platform 2",Castle Hill,城堡山 (Castle Hill) 站 2 号站台,城堡山 (Castle Hill)
2154264,"Hills Showground Station, Platform 1",Castle Hill,希尔斯展览场 (Hills Showground) 站 1 号站台,城堡山 (Castle Hill)
2154265,"Hills Showground Station, Platform 2",Castle Hill,希尔斯展览场 (Hills Showground) 站 2 号站台,城堡山 (Castle Hill)
2155265,"Kellyville Station, Platform 1",Kellyville,凯利维尔 (Kellyville) 站 1 号站台,凯利维尔 (Kellyville)
2155266,"Kellyville Station, Platform 2",Kellyville,凯利维尔 (Kellyville) 站 2 号站台,凯利维尔 (Kellyville)
2155267,"Rouse Hill Station, Platform 1",Rouse Hill,露斯山 (Rouse Hill) 站 1 号站台,露斯山 (Rouse Hill)
2155269,"Tallawong Station, Platform 2",Rouse Hill,塔拉旺 (Tallawong) 站 2 号站台,露斯山 (Rouse Hill)
2155270,"Tallawong Station, Platform 3",Rouse Hill,塔拉旺 (Tallawong) 站 3 号站台,露斯山 (Rouse Hill)
217934,"Leppington Station, Platform 1",Leppington,莱平顿 (Leppington) 站 1 号站台,莱平顿 (Leppington)
