,English,,Simplified Chinese,
200030,Martin Place Station,Sydney,马丁广场 (Martin Place) 站,悉尼 (Sydney)
200060,Central Station,Haymarket,中央 (Central) 车站,喜市 (Haymarket)
200080,Wynyard Station,Sydney,温耶德 (Wynyard) 站,悉尼 (Sydney)
201520,Macdonaldtown Station,Eveleigh,麦克唐纳城 (Macdonaldtown) 站,伊夫利 (Eveleigh)
201710,Green Square Station,Alexandria,绿色广场 (Green Square) 站,亚历山德里亚 (Alexandria)
202010,Mascot Station,Mascot,马斯党 (Mascot) 站,马斯党 (Mascot)
202020,Domestic Station,Mascot,国内 (Domestic) 站,马斯党 (Mascot)
202030,International Station,Mascot,国际 (International) 站,马斯党 (Mascot)
202210,Bondi Junction Station,Bondi Junction,邦迪枢纽 (Bondi Junction) 站,邦迪枢纽 (Bondi Junction) 
204210,Newtown Station,Newtown,新镇 (Newtown) 站,新镇 (Newtown)
219410,Campsie Station,Campsie,坎斯 (Campsie) 站,坎斯 (Campsie)
219520,Wiley Park Station,Wiley Park,威利公园 (Wiley Park) 站,威利公园 (Wiley Park)
219610,Punchbowl Station,Punchbowl,宾治宝 (Punchbowl) 站,宾治宝 (Punchbowl)
219910,Yagoona Station,Yagoona,雅古纳 (Yagoona) 站,雅古纳 (Yagoona)
220010,Bankstown Station,Bankstown,奔驰镇 (Bankstown) 站,奔驰镇 (Bankstown)
278510,Blackheath Station,Blackheath,布莱克希斯 (Blackheath) 站,布莱克希斯 (Blackheath)
278630,Zig Zag Station,Dargan,之字形 (Zig Zag) 站,达根 (Dargan)
279010,Lithgow Station,Lithgow,利斯戈 (Lithgow) 站,利斯戈 (Lithgow)
204420,Sydenham Station,Sydenham,悉邓咸 (Sydenham) 站,悉邓咸 (Sydenham)
204430,Tempe Station,Tempe,坦佩 (Tempe) 站,坦佩 (Tempe)
204810,Stanmore Station,Stanmore,斯坦莫尔 (Stanmore) 站,斯坦莫尔 (Stanmore)
204910,Petersham Station,Petersham,彼得咸 (Petersham) 站,彼得咸 (Petersham)
206020,Waverton Station,Waverton,威弗顿 (Waverton) 站,威弗顿 (Waverton)
222210,Penshurst Station,Penshurst,潘石斯 (Penshurst) 站,潘石斯 (Penshurst)
